https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1612312082,2021-02-03 00:28:02,LTC/USDT,156.11547201,156.11547201,156.11547201,156.11547201,0.0,0.0
1612310400,2021-02-03 00:00:00,LTC/USDT,142.525,156.6,142.21225822,156.11547201,2156616.85607115,14214.27628129
1612224678,2021-02-02 00:11:18,LTC/USDT,142.025,142.025,142.025,142.025,0.0,0.0
1612224000,2021-02-02 00:00:00,LTC/USDT,132.05166636,145.75808828,132.05166636,142.025,2227065.40128395,15881.57872471
1612138414,2021-02-01 00:13:34,LTC/USDT,132.11552664,132.11552664,132.11552664,132.11552664,0.0,0.0
1612137600,2021-02-01 00:00:00,LTC/USDT,129.00224466,136.54541176,125.99211456,132.11552664,1596545.15206856,12132.52531533
1612052225,2021-01-31 00:17:05,LTC/USDT,129.50521374,129.50521374,129.50521374,129.50521374,0.0,0.0
1612051200,2021-01-31 00:00:00,LTC/USDT,133.36393952,135.00200298,125.87707389,129.50521374,1169135.11769744,8973.74770867
1611965760,2021-01-30 00:16:00,LTC/USDT,133.31704979,133.31704979,133.31704979,133.31704979,0.0,0.0
1611964800,2021-01-30 00:00:00,LTC/USDT,134.65188214,136.0565019,128.15958361,133.31704979,2192489.72359047,16641.56686646
1611879212,2021-01-29 00:13:32,LTC/USDT,134.90236954,134.90236954,134.90236954,134.90236954,0.0,0.0
1611878400,2021-01-29 00:00:00,LTC/USDT,133.41950907,145.20316894,131.63398849,134.90236954,3340113.60006599,24164.44312561
1611792821,2021-01-28 00:13:41,LTC/USDT,133.41950908,133.41950908,133.41950908,133.41950908,0.0,0.0
1611792000,2021-01-28 00:00:00,LTC/USDT,122.33271776,135.58968869,120.70595634,133.41950908,1212090.68617027,9314.48283003
1611707807,2021-01-27 00:36:47,LTC/USDT,122.53782763,122.53782763,122.53782763,122.53782763,0.0,0.0
1611705600,2021-01-27 00:00:00,LTC/USDT,134.4,134.5,118.2494438,122.53782763,1577507.17858405,12677.46374562
1611619968,2021-01-26 00:12:48,LTC/USDT,134.32688858,134.32688858,134.32688858,134.32688858,0.0,0.0
